algo,n,time_ms_mean,time_ms_sd,gap_mean
BFS,100,0.09311999310739338,0.0485547958880773,1.0
BFS,400,0.38443999947048724,0.1297745806668918,1.0
BFS,700,0.5491600022651255,0.042559693192631226,1.0
BFS,1000,0.9730799880344421,0.08856837690537193,1.0
DFS,100,0.1377000124193728,0.018931465558212852,1.0
DFS,400,0.6219000031705946,0.13345416396897372,1.0
DFS,700,1.196280011208728,0.28118213467934644,1.0
DFS,1000,1.2639200140256435,0.24192863382554414,1.0
