algo,n,time_ms_mean,time_ms_median,time_ms_sd
BFS,100,0.07954000029712915,0.08369999704882503,0.010448564336219844
BFS,400,0.43044000631198287,0.37130003329366446,0.13192010611998123
BFS,700,0.8812400163151324,0.735200010240078,0.24441798229347358
BFS,1000,1.0192600078880787,0.9510999661870301,0.18538312897406356
DFS,100,0.08071999764069915,0.07479998748749495,0.01977479419362465
DFS,400,0.46486001228913665,0.4301000153645873,0.1344147762034969
DFS,700,1.162439992185682,1.0910999844782054,0.33756761012283654
DFS,1000,1.3034800183959305,1.2966999784111977,0.1203556089371205
